claim_text,Ineligibility
" A lottery type game comprising: a plurality of gaming pieces, each of said gaming pieces including a programmable memory for storing a code which include data indicating whether a player wins or loses the lottery type game and an amusement game, said data being unrecognizable to the player, such that the player does not know whether the player will win or lose the games prior to play of the amusement game; a plurality of game terminals, each of said terminals including means for receiving gaming pieces and a display; a processor at each of said terminals for reading said code from said memory of gaming pieces played at said terminals; each of said processors generating the amusement game on said terminal display for play by the player; each of said processors determining whether the player will win or lose the amusement game based upon said code; and each of said displays providing an indication to the player of the amusement game win or loss based upon said code.",1
" A lottery type game comprising: a plurality of gaming pieces, each of said gaming pieces including a programmable memory for storing a code which includes data indicating whether a player wins or loses the lottery type game and an amusement game, said data being unrecognizable to the player, such that the player does not know whether the player will win or lose the games prior to play of the amusement game; input means for inputting codes into said programmable memory of said plurality of gaming pieces; a processor for reading said codes from said memory; said processor generating the amusement game on a display for play by the player; said processor determining whether the player will win or lose the amusement game based upon said code; and said display providing an indication to the player of the amusement game win or loss based upon said code.",1
" A method comprising: receiving an e-mail message at a first multimedia message server associated with a first mobile operator, wherein the e-mail message includes content corresponding to a multimedia message sent from a mobile station associated with a second mobile operator and destined for a recipient mobile station associated with the first mobile operator; converting the received e-mail message into a multimedia message for delivery to the recipient mobile station; and sending a notification of receipt of the multimedia message to the recipient mobile station.",1
" A method for capturing a telephone interaction, comprising: receiving audio data packets at a switch that are transmitted over a first network, wherein the audio data packets include packet headers and packet bodies; identifying data within the audio data packets at a data analysis engine that is communicatively connected to the switch by a second network, the identifying being based on at least one predetermined parameter associated with a payload of the audio data packets; and recording for analysis, at a recorder, any of the received audio data packets that include the at least one predetermined parameter, wherein the recorder is communicatively connected to the data analysis engine by the second network.",1
" A method for central management, storage and verification of remotely captured paper transactions from checks comprising the steps of: capturing an image of the check at one or more remote locations and sending a captured image of the check; managing the capturing and sending of the transaction data; collecting, processing, sending and storing the transaction data at a central location; managing the collecting, processing, sending and storing of the transaction data; encrypting subsystem identification information and the transaction data; verifying the transaction data from the check; and transmitting the transaction data and the subsystem identification information within and between the remote location and the central location.",1
" A method for central management, storage and verification of remotely captured paper transactions from checks comprising the steps of: capturing an image of the paper transaction data at one or more remote locations said transaction data including a payer bank's identification number, a payer bank's routing number, a payer bank's routing information, a payer's account number, a payer's check, a payer bank's draft, a check amount, a payee bank's identification number, a payee bank's routing information, and a payee's account number; and sending a captured image of the paper transaction data; managing the capturing and sending of the transaction data; collecting, processing, sending and storing the transaction data at a central location; managing the collecting, processing, sending and storing of the transaction data; encrypting subsystem identification information and the transaction data; and transmitting the transaction data and the subsystem identification information within and between the remote location and the central location.",1
" A method for central management, storage and verification of remotely captured paper transactions from documents and receipts comprising the steps of: capturing an image of the paper transaction data at one or more remote locations and sending a captured image of the paper transaction data; managing the capturing and sending of the transaction data; collecting, processing, sending and storing the transaction data at a central location; managing the collecting, processing, sending and storing of the transaction data; encrypting subsystem identification information and the transaction data; and transmitting the transaction data and the subsystem identification information within and between the remote location and the central location.",1
" A method for controlling a digital computer using oral input, comprising:  providing receiving means and a digital computer;  receiving oral input comprising a plurality of words;  generating input information corresponding to said oral input;  associatively searching a tabular data structure comprising labels using at least a first part of said input information to locate at least a first label in such tabular data structure relating to said input information; and  determining content information relating to said oral input.",1
" A method for controlling communications between first and second communications units coupled for communication over the Internet, comprising the steps of: receiving location information over the Internet with the first communications unit, the location information corresponding to the geographic location of the second communications unit; determining, from the location information, whether the geographic location of the second communications unit is within a predefined geographic region; and controlling the communication of further information between the first and second communications units, dependent upon the determination of whether the second communication unit is within the predefined geographic region, comprising: providing the second communications unit with access to first information in the event that the geographic location of the second communications unit is determined to be within the predefined region, and providing the second communications unit with access to second information in the event that the geographic location of the second communications unit is determined to not be within the predefined region, wherein said second information includes information different from said first information.",1
" A method for converting a hardware independent user description of a logic circuit, that includes flow control statements including an IF statement and a GOTO statement, and directive statements that define levels of logic signals, into logic circuit hardware components comprising: converting the flow control statements and directive statements in the user description for a logic signal Q into an assignment condition AL for an asynchronous load function AL and an assignment condition AD for an asynchronous data function AD; and generating a level sensitive latch when both said assignment condition AL and said assignment condition AD are non-constant; wherein said assignment condition AD is a signal on a data input line of said flow through latch; said assignment condition AL is a signal on a latch gate line of said flow through latch; and an output signal of said flow through latch is said logic signal Q.",0
" A method for converting a hardware independent user description of a logic circuit, that includes flow control statements, and directive statements that define levels of logic signals, into logic circuit hardware components comprising: converting a flow control statement and a directive statement in the user description for a logic signal Q into an assignment condition for at least one of a plurality of functions including an asynchronous load function AL, an asynchronous data function AD, and a high impendance function Z; and generating a hardware element using said assignment condition, wherein a type of said hardware element and a configuration of said hardware element is dependent upon the assignment condition.",0
" A method for converting a hardware independent user description of a logic circuit, that includes flow control statements, and directive statements that define levels of logic signals, into logic circuit hardware components comprising: converting a flow control statement and a directive statement in the user description for a logic signal Q into an assignment condition for at least one of a plurality of functions including a synchronous load function SL, a synchronous data function SD, and a high impendance function Z; and generating a hardware element using said assignment condition, wherein a type of said hardware element and a configuration of said hardware element is dependent upon the assignment condition.",0
 A method for customer access to and manipulation of services and data of a service provider comprising the steps of: accessing a network; entering a request; displaying the request; accepting the request via a customer contact services node Internet gateway ; and processing the request remotely to facilitate customer access to and manipulation of a plurality of customer-specific information and services retained by the service provider.,1
" A method for customer access to customer-specific services and data retained by a telecommunications service provider, comprising the steps of: establishing a connection between a customer end terminal and a remote telecommunications service provider's Web server over the Internet; providing customer access to the customer-specific information and telecommunications services available through the telecommunications service provider's Web server; allowing customer modification of at least one of customer-specific information and telecommunications services available through the telecommunications service provider Web server; and receiving verification from the telecommunications service provider Web server of any modifications made to the customer-specific information and telecommunications services.",1
" A method for detecting Mycobacterium tuberculosis in a biological sample suspected of containing M. tuberculosis comprising:  subjecting DNA from the biological sample to polymerase chain reaction using a plurality of primers under reaction conditions sufficient to simplify a portion of a M. tuberculosis rpoB gone to produce an amplification product, wherein the plurality of primers comprises at least one primer that hybridizes under hybridizing conditions to the amplified portion of the gone at a site comprising at least one position-specific M. tuberculosis signature nucleotide selected, with reference to FIG.  , from the group consisting a G at nucleotide position , a T at nucleotide position , an A at nucleotide position , a G at nucleotide position , an A at nucleotide position , a G at nucleotide position , a T at nucleotide position , an A at nucleotide position , a G at nucleotide position , an A at nucleotide position , and a T at nucleotide position ; and  detecting the presence or absence of an amplification product, wherein the presence of an amplification product is indicative of the presence of M. tuberculosis in the biological sample and wherein the absence of the amplification product is indicative of the absence of M. tuberculosis in the biological sample.",0
" A method for error-correction coding of source digital data elements, comprising the steps of: implementing at least two independent and parallel steps of systematic convolutional coding, each of said coding steps taking account of all of said source data elements and providing parallel outputs of distinct series of coded data elements; and temporally interleaving said source data elements to modify the order in which said source data elements are taken into account for at least one of said coding steps.",1
" A method for interfacing an object oriented software application with a relational database, comprising the steps of: selecting an object model; generating a map of at least some relationships between schema in the database and the selected object model; employing the map to create at least one interface object associated with an object corresponding to a class associated with the object oriented software application; and utilizing a runtime engine which invokes said at least one interface object with the object oriented application to access data from the relational database.",1
" A method for placing a telephone call through a central office from a telecommunications device according to a desired method of making payment, said method comprising the steps of: receiving a first plurality of signals which represent a telephone dialing digit not including """" followed by a multi-digit phone number, said telephone dialing digit being independent of the desired method of making payment; receiving at least one further signal which indicates said desired method of making payment for said telephone call after said multi-digit phone number has been received; providing for payment of said telephone call according to said desired method of making payment; and placing said telephone call by transmitting a plurality of Dual Tone Multiple Frequency signals representing said multi-digit phone number to said central office.",1
" A method for playing a lottery type game comprising the steps of: acquiring by a player a gaming piece, the gaming piece including a code which includes data indicating whether the player wins or loses the lottery type game and an amusement game, the data being unrecognizable to the player, such that the player does not know whether the player will win or lose the games prior to play of the amusement game; reading the code by a processor; the processor generating the amusement game on a display for play by the player; the processor controlling whether the player will win or lose the amusement game based upon the code; and providing on the display an indication to the player of the amusement game win or game loss based upon the code.",1
" A method for playing a lottery type game comprising the steps of: acquiring by a player a gaming piece, the gaming piece including a code which includes data indicating whether the player wins or loses the lottery type game and an amusement game, the data being unrecognizable to the player, such that the player does not know whether the player will win or lose the games prior to play of the amusement game; inserting the gaming piece into a data reader for reading the code; inputting the code into a processor; the processor generating a plurality of amusement games on a display for play by the player, the player selecting at least one of the plurality of amusement games for play by the player; the processor controlling whether the player will win or lose the selected amusement game based upon the code; and providing on the display an indication to the player of the selected amusement game win or loss based upon the code.",1
" A method for playing a player lottery game comprising the step of: acquiring by a player a game piece, the gaming piece including a code which includes data indicating whether the player wins or loses the lottery game and an amusement game, the data being unrecognizable to the player, such that the player does not know whether the player will win or lose the game prior to play of the amusement game; entering the code by the player into a processor prior to amusement game play; the processor generating the amusement game on a display for play by the player, the player controlling game play by inputting game parameters to the processor; the processor controlling whether the player will win or lose the amusement game based upon the code entered by the player; and providing on a display an indication to the player of the amusement game win or loss based upon the code.",1
" A method for providing a shopper with personalized nutrition information regarding food purchased or consumed, or food selected or specified by said shopper, comprising the following steps:  inputting personal data relating to an individual;  selecting or specifying at least one food product which said shopper is interested in, or has purchased or consumed, and inputting data identifying said food product;  correlating the personal data with prestored nutritional data including a barcode address, pertinent to the at least one food product which said shopper has specified or selected, or has purchased or consumed; and  outputting information pertinent to the at least one food product and the personal data of the individual.",1
" A method for providing multi-level multimedia security in a data network, comprising the steps of: A) accessing an object-oriented key manager; B) selecting an object to encrypt; C) selecting a label for the object; D) selecting an encryption algorithm; E) encrypting the object according to the encryption algorithm: F) labelling the encrypted object: G) reading the object label; H) determining access authorization based on the object label; and I) decrypting the object if access authorization is granted.",1
" A method for providing multi-level multimedia security in a data network, comprising: a) accessing an object-oriented key manager; b) selecting a first object to encrypt; c) selecting a first label for the first object; d) encrypting the first object; e) labelling the encrypted first object; f) displaying the first label as a header array; g) reading the first object label; h) determining access authorization based on the first object label; and i) decrypting the first object if access authorization is granted.",1
" A method for providing multi-level multimedia security in a data network, comprising: A) accessing an object-oriented key manager; B) selecting a first object to encrypt; C) selecting a first label for the first object; D) selecting an encryption algorithm; E) encrypting the first object according to the encryption algorithm; F) labelling the encrypted first object wherein the labelling comprises creating a display header; G) reading the first object label; H) determining access authorization based on the first object label; and I) allowing access to the first object only if access authorization is granted.",1
" A method for providing multi-level multimedia security in a data network, comprising: A) accessing an object-oriented key manager; B) selecting a first object to encrypt; C) selecting a first label for the first object; D) selecting an encryption algorithm; E) encrypting the first object according to the encryption algorithm; F) labelling the encrypted first object; G) reading the first object label; H) determining access authorization based on the first object label; and I) allowing access to the first object only if access authorization is granted.",1
 A method for redeeming discount offers comprising: providing a circulation medium and providing said medium with indicia which includes a machine readable identification code; causing said medium to be distributed to potential users; associating said identification code with data identifying items which are to be offered at a discount provided as part of said medium and storing said data in memory in a data base so as to be addressable by said identification code; providing means for reading said identification code provided with said circulation medium; providing means associated with said code reading means for tabulating sales of items so that any discount corresponding to an item listed in said data is deducted from the price of the item in the tabulation; and using said reading means to identify said code provided with said medium and using said means for tabulating items to obtain a price for the involved item and to cause a discount to be debited against the purchased item if the involved item is listed as part of said data identifying an item as qualifying for a discount as called for by the data base data defined by the identification code of the medium.,0
" A method for remote mirroring of digital data, said method comprising the steps of: copying the data from a primary network server to a nonvolatile data buffer in a data transfer unit which is digitally connected to the primary network server, the primary network server including an operating system which is capable of accessing a nonvolatile server store, the data copied to the data transfer unit being a substantially concurrent copy of data which is being stored by the operating system in the nonvolatile server store of the primary network server; copying the data from the data transfer unit to an input end of a communication link which has an output end physically separated from its input end; generating and sending a spoof packet to the operating system of the primary network server; and copying the data from the output end of the communication link to a nonvolatile server store on a remote network server.",1
" A method for remote ordering at least one desired item by a user from one of a plurality of merchants using a system having a user device, a central computer, one of a plurality of merchant databases, and a communications link including a multi-user network, said at least one desired item having a unique identifying code associated therewith, the method comprising: storing for a plurality of user-specific items, in an identifier database accessible at said user device for user perception at said user device, a user-cognizable identifier of said at least one item corresponding to said identifying code; user inputting said identifying code corresponding to said at least one desired item into said user device by machine recognition of said user input identifying code; accumulating from said identifier database selected ones of said user-cognizable identifiers corresponding to said input identifying codes in at least one list of desired items; selectively associating a transaction identifier having user and/or merchant identifications with said user device to identify a selected merchant database and/or to identify said user to a selected merchant database; commanding said user device to establish remote communication between said user device and said selected merchant database corresponding to said merchant identification through said central computer over said communications link including said multi-user network; interactively updating only said selected one of said user-cognizable identifiers in said identifier database of user-specific items with current information provided by said merchant database over said communications link in response to a user action at said user device, said user action including the communication of a provisional list of desired items transmitted to said selected merchant database for the purpose of providing said interactive updating, or the communication of an order list of desired items transmitted to said selected merchant database for the purpose of providing said interactive updating and remote ordering said desired items comprising said order list; and passing transaction specific information over said communications link including said identifying codes between said user device and said selected merchant database.",1
" A method for storing at least a portion of an interaction occurring over a network between a packet source and a packet destination, the method comprising the steps of: receiving data packets from the network at a switch, the data packets containing at least the portion of the interaction comprising one or more of audio data or video data; communicating the data packets to a data analysis engine; identifying, at the data analysis engine, an interaction to which the data packets belong responsive to information included within the data packets; and storing at least a portion of the interaction contained within the data packets in a storage device.",1
" A method for transmitting data within and between one or more remote subsystems, at least one intermediate subsystem and at least one central subsystem in a tiered manner wherein each of the central subsystems communicate with at least one intermediate subsystem and each of the intermediate subsystems communicate with at least one remote subsystems comprising the steps of: capturing an image of documents and receipts and extracting data therefrom; transmitting data within the remote locations; transmitting data from each remote location to corresponding intermediate location; transmitting data within the intermediate locations; transmitting data from each intermediate location to corresponding central locations; and transmitting data within the central locations.",1
" A method for transmitting digital data in a wireless communication environment comprising: dividing an incoming stream of serial data bits having a first bit duration  into a plurality  of parallel data bit streams; expanding by K times the bit duration of the incoming data so that the resulting symbol duration in said parallel data streams equals KT.sub.b ; modulating said expanded parallel data streams with modulating sequences, each said modulating sequence having a processing gain N, having a sequence period equal to the symbol duration KT.sub.b of said expanded data streams, and having N binary chips within each period so that each chip has a chip duration of T.sub.c =KT.sub.b /N, wherein K and N are integers and N>K; and summing the modulated parallel data streams for transmission.",1
" A method for verifiably controlling the disposition of an asset, said method comprising the steps of:  creating an asset record uniquely associated with said asset;  securely sealing said asset in a tamper-proof transport means;  creating a transport record associating said asset with said tamper-proof transport means;  transporting said asset from a customer facility to a disposition facility;  unsealing said asset from within said tamper-proof transport means;  creating a receipt record associating said asset with said tamper-proof transport means, said receipt record being reconcilable with said transport record;  sorting said asset in accordance with a preselected method of disposition; and  disposing of said asset in accordance with said preselected method of disposition and creating a disposition record uniquely associated with said asset to be maintained for customer verification.",1
" A method for verifiably controlling the disposition of an asset, said method comprising the steps of:  creating an asset record uniquely associated with said asset;  securely sealing said asset in a tamper-proof transport means;  creating a transport record associating said asset with said tamper-proof transport means;  transporting said asset from a customer facility to a disposition facility;  unsealing said asset from within said tamper-proof transport means;  creating a receipt record associating said asset with said tamper-proof transport means, said receipt record being reconcilable with said transport record;  sorting said asset in accordance with a preselected method of disposition;  disposing of said asset in accordance with said preselected method of disposition and creating a disposition record uniquely associated with said asset to be maintained for customer verification; and  storing said transport record, said receipt record and said disposition record in a database, said database being coupled to a system process controller, said system process controller being coupled to a communications network.",1
" A method for verifying transmit power levels in a signal point limited transmission system, wherein said system having: a first device configured to communicate with a second device over a communication channel; said method comprising the steps of: receiving at said first device, a plurality of signal points from said second device, said plurality of signal points having a first computed transmit power, as determined by said second device, less than or equal to a transmit power limit, said first computed transmit power being calculated in accordance with a transmit power calculation formula; calculating, at said first device, in accordance with said transmit power calculation formula, a second computed transmit power of said plurality of signal points; and comparing, at said first device, said second computed transmit power with said transmit power limit, to determine whether said second computed transmit power is less than or equal to said transmit power limit.",1
" A method in a computer system for constructing, in response to input from a user using a window-based user interface, a formula for producing a textual patient information string from a selected time-indexed medical data variable having a value for each of a plurality of times, the method comprising the steps of: receiving input via the window-based user interface specifying a period of time during which the medical data variable is to be analyzed; displaying via the window-based user interface names of a plurality of functions capable of aggregating a plurality of values into a single value; receiving input via the window-based user interface indicating that the user selected the name of a selected function from the displayed function names; receiving input via the window-based user interface specifying a manner of manipulating a single value to produce a textual string conveying patient information; and based upon the receiving steps, creating a formula that specifies: identifying values of the selected time-indexed medical data variable having times within the specified period of time, applying the selected function to the identified values of the selected time-indexed medical data variable to aggregate the identified values into a single value, and manipulating the single value in the specified manner to produce a textual string conveying patient information based on the values of the selected time-indexed medical data variable, such that the formula may be used to generate and display a textual string conveying patient information based on the values of the selected time-indexed medical data variable.",1
